id,title,original_title,production_countries,overview,tagline,release_date,original_language,genres,runtime,budget,revenue,cast,vote_average,director,keywords
83972,Deadly Hero,Deadly Hero,['United States of America'],,,1975-12-14,en,"Drama, Suspense, Crimen, Drama",102,0,0,"['Don Murray', 'Diahn Williams', 'James Earl Jones']",5.7,Ivan Nagy,[]
69013,El abismo de los sentidos,実録阿部定,['Japan'],"La joven y bella Sada Abe, hija de un rico comerciante, es desterrada por perder su virginidad tras ser violada por un estudiante universitario. Sada vaga por la ciudad, convirtiéndose en una geisha y eventualmente conoce a Kichizo, un posh restaurador que cae bajo su hechizo. Juntos, se embarcan en una escapada sexual de una semana llena de obsesiones peligrosas. Su descenso completo en los deseos de cada uno culmina en un crimen de pasión espeluznante que captura los titulares de la ciudad. Basado en un evento real de 1936.",,1975-02-08,ja,"Crimen, Drama, Romance",85,0,0,"['Junko Miyashita', 'Eimei Esumi', 'Genshū Hanayagi']",5.482,Noboru Tanaka,"['geisha', 'castration', 'based on true story', 'murder', 'pink film']"
950108,Dugo at Pag-ibig Sa Kapirasong Lupa,Dugo at Pag-ibig Sa Kapirasong Lupa,['Philippines'],,,1975-06-12,tl,"Acción, Drama, Romance, Bélica, Historia",210,0,0,"['Eddie Del Mar', 'Ruben Rustia', 'Barbara Perez']",6.0,Ding M. De Jesus,[]
242102,Russian Roulette,Russian Roulette,"['United Kingdom', 'Canada']",,,1975-08-20,en,"Suspense, Crimen, Drama",93,1250000,0,"['George Segal', 'Cristina Raines', 'Bo Brundin']",4.8,Lou Lombardo,"['central intelligence agency (cia)', 'hitman', 'spy', 'soviet union', 'firearm', 'kgb', 'mafia', 'conspiracy', 'sniper rifle', 'explosion', 'christmas']"
250366,好色元禄（秘）物語,好色元禄（秘）物語,['Japan'],,,1975-10-14,ja,Drama,67,0,0,"['Yuriko Hishimi', 'Maki Tachibana', 'Hiroshi Nawa']",5.0,Ikuo Sekimoto,[]
93708,Los locos del oro negro,Cipolla Colt,"['Germany', 'Italy', 'Spain', 'United States of America']","En un pueblecito llamado Paradise City se ha descubierto petróleo, por lo que una poderosa compañía de crudo decide apoderarse del terreno cueste lo que cueste...",,1975-08-25,it,"Western, Comedia",92,0,39598448,"['Franco Nero', 'Sterling Hayden', 'Martin Balsam']",5.2,Enzo G. Castellari,['spaghetti western']
104876,心魔,心魔,['Hong Kong'],,,1975-01-01,zh,Terror,92,0,0,"['Ko Chun-Hsiung', 'Reiko Ike', 'James Tien Chun']",5.2,Lo Wei,"['rape', 'trial', 'murder']"
42257,Hester Street,Hester Street,['United States of America'],,,1975-10-19,en,"Drama, Romance",90,0,0,"['Steven Keats', 'Carol Kane', 'Mel Howard']",6.2,Joan Micklin Silver,"['manhattan, new york city', 'woman director', 'russian emigre', '19th century']"
39988,Violación en el último tren de la noche,L'ultimo treno della notte,"['Germany', 'Italy']",Dos amigas cogen el tren para pasar las vacaciones de Navidad en casa de los padres de una de ellas. Pero en el tren se cuelan dos pervertidos que las que las someterán a toda clase de vejaciones y sufrimientos. Ademas los dos delincuentes cuentan con la complicidad de una extraña mujer que tambien viaja en el tren.,,1975-04-09,it,"Suspense, Terror",94,0,0,"['Flavio Bucci', 'Macha Méril', 'Gianfranco De Grassi']",6.1,Aldo Lado,"['rape', 'germany', 'sadism', 'hostage', 'italy', 'nymphomaniac', 'revenge', 'sexual harassment', 'murder', 'train', 'mental illness', 'psychotic', 'voyeur', 'rape and revenge', 'video nasty']"
20850,"Ilsa, la loba de las SS",Ilsa: She Wolf of the SS,"['Canada', 'United States of America']","Dyanne Thorne es Ilsa, la implacable comandante de un campamento médico nazi que usa sus prisioneros (muchas veces mujeres desnudas) para las torturas más dolorosas y brutales que le pasan por la cabeza en el nombre de la guerra, y para demostrar su supremacía sexual. También usa a los reclutas masculinos para acostarse con ellos y al día siguiente castrarlos.",Atroces experimentos en un campo de concentración nazi.,1975-10-01,en,"Suspense, Terror, Bélica, Drama",96,0,0,"['Dyanne Thorne', 'Gregory Knoph', 'Tony Mumolo']",6.0,Don Edmonds,"['rape', 'experiment', 'nazi', 'germany', 'sadism', 'necrophilia', 'ss (nazi schutzstaffel)', 'prisoner of war', 'sexploitation', 'torture', 'nazisploitation (nazi exploitation film)', 'lesbian rape', 'nazi germany']"
38783,Trilogía del terror (Los enigmas de Karen),Trilogy of Terror,['United States of America'],Una antología de terror que contiene tres historias: una profesora universitaria es perseguida agresivamente por uno de sus estudiantes; una morena mojigata determina que su hermana rubia de espíritu libre es malvada; y la noche de una mujer se pone patas arriba después de que compra una antigua muñeca fetiche Zuni.,,1975-03-04,en,"Terror, Suspense, Película de TV",72,0,0,"['Karen Black', 'Robert Burton', 'John Karlen']",6.2,Dan Curtis,"['seduction', 'sister', 'anthology', 'evil doll', 'horror anthology']"
